params_id,minRecentCount,diffThresholdDays,maxRecentStd,alpha,frequencyDiffThreshold,frequencyRecentWindowDays,change_type_accuracy,interval_change_precision,interval_change_recall,interval_change_f1,frequency_change_precision,frequency_change_recall,frequency_change_f1,overall_change_precision,overall_change_recall,overall_change_f1,cycle_mae,daily_frequency_mae,score
params_2793,3,0.75,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_3185,3,1.0,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_3189,3,1.0,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_3193,3,1.0,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4385,4,0.5,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4389,4,0.5,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4393,4,0.5,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4785,4,0.75,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4789,4,0.75,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_4793,4,0.75,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_5185,4,1.0,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_5189,4,1.0,2.0,0.9,0.5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_5193,4,1.0,2.0,0.9,0.7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
params_6385,5,0.5,2.0,0.9,0.3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08,0.06,0.980398
